acousticness,speechiness,valence,tempo,duration_ms,release_date,year,month
0.352,0.0522,0.245,120.577,289173,1982-09-27,1982,9
0.745,0.0751,0.433,122.936,191907,1982-02-16,1982,2
0.0183,0.336,0.797,75.72800000000002,322933,1982-01-01,1982,1
0.254,0.0343,0.802,104.048,307533,1982-10-01,1982,10
0.022,0.0479,0.573,105.22,182413,1982-11-19,1982,11
5.34e-05,0.166,0.603,101.442,164627,1982-05-21,1982,5
0.00317,0.0458,0.94,129.534,416427,1982-09-16,1982,9
0.909,0.0399,0.8,108.178,388998,1982-06-17,1982,6
0.00742,0.0289,0.933,104.747,194093,1982-01-01,1982,1
0.000112,0.0331,0.608,152.085,254360,1982-02-25,1982,2
0.0055,0.0346,0.909,122.577,280573,1982-01-01,1982,1
0.0163,0.0316,0.8079999999999999,126.643,236107,1982-04-08,1982,4
0.4270000000000001,0.0275,0.133,131.25799999999998,240360,1982-06-11,1982,6
0.0114,0.0322,0.902,99.82,199120,1982-06-29,1982,6
0.986,0.933,0.4920000000000001,96.876,190067,1982-11-30,1982,11
0.0709,0.0348,0.8059999999999999,118.043,300107,1982-08-03,1982,8
0.0021,0.0945,0.7190000000000001,171.41299999999995,232320,1982-08-24,1982,8
0.393,0.058,0.381,95.84,231827,1982-01-01,1982,1
0.357,0.0267,0.0559,81.949,297787,1982-01-21,1982,1
0.0262,0.035,0.128,132.042,315533,1982-06-01,1982,6
0.237,0.0602,0.931,120.047,291187,1982-05-13,1982,5
0.7809999999999999,0.0318,0.173,139.859,276933,1982-02-01,1982,2
0.213,0.0557,0.127,180.289,262147,1982-11-19,1982,11
0.000197,0.0554,0.143,111.98,329747,1982-11-19,1982,11
0.00598,0.0371,0.496,130.305,265400,1982-04-08,1982,4
0.494,0.0491,0.7340000000000001,160.755,200173,1982-01-01,1982,1
0.00717,0.0314,0.867,112.385,213320,1982-03-12,1982,3
0.343,0.0555,0.963,178.61,190147,1982-08-20,1982,8
0.0892,0.0683,0.7509999999999999,118.922,274933,1982-05-03,1982,5
0.882,0.065,0.608,87.156,483400,1982-01-01,1982,1
0.0159,0.033,0.857,123.58,284133,1982-01-01,1982,1
0.115,0.0836,0.843,112.625,368773,1982-09-21,1982,9
0.0341,0.0406,0.8,117.107,145333,1982-01-01,1982,1
0.158,0.0376,0.616,125.193,363560,1982-10-01,1982,10
0.901,0.0344,0.145,144.644,240667,1982-02-01,1982,2
0.938,0.0424,0.141,122.422,197747,1982-04-08,1982,4
0.242,0.0403,0.669,135.358,362827,1982-01-01,1982,1
0.701,0.0295,0.224,115.739,251333,1982-06-01,1982,6
0.229,0.0816,0.596,118.954,373747,1982-10-27,1982,10
0.276,0.04,0.903,79.536,249011,1982-08-13,1982,8
0.3720000000000001,0.0383,0.242,145.526,360147,1982-06-28,1982,6
0.0501,0.0289,0.603,130.707,311973,1982-06-29,1982,6
4.63e-05,0.11,0.181,145.403,292941,1982-10-01,1982,10
0.00692,0.0433,0.7929999999999999,128.908,195520,1982-11-01,1982,11
0.0013,0.0414,0.591,77.749,213307,1982-01-01,1982,1
0.0623,0.0394,0.633,115.424,194720,1982-03-20,1982,3
0.0926,0.0301,0.665,153.252,254342,1982-11-19,1982,11
